,순위,책이름,저자,줄거리
10,11,미드나잇 라이브러리,매트 헤이그,"밤 12시, 죽기 바로 전에만 열리는 마법의 도서관에서인생의 두 번째 기회를 드립니다★★★★★국내 주요 서점 종합 베스트셀러 1위, 2021년 올해의 책 선정★★★★★《뉴욕타임스》 베스트셀러 1위, 영국 아마존 종합 베스트셀러 1위매트 헤이그의 소설 《미드나잇 라이브러리》는 2021년 4월 출간 이후 10개월 만에 30만 독자의 마음을 사로잡으며 눈물과 웃음, 가슴 뭉클한 감동을 선사하고 있다. 죽기로 결심한 주인공 ‘노라 시드’가 삶과 죽음 사이에 존재하는 미스터리한 도서관 ‘미드나잇 라이브러리’에서 눈을 뜨며 인생의 두 번째 기회를 얻는 이 소설은, 노라의 가장 완벽한 삶을 찾는 모험을 따라가며 ‘살아 있음’과 ‘살아가는 것’에 대한 깊은 통찰을 보여준다.“책을 덮는 순간 내일이 기대된다!” “내 인생의.."
11,12,클라라와 태양,가즈오 이시구로,"노벨문학상 수상 이후 처음으로 발표하는 거장 가즈오 이시구로의 장편소설전 세계가 손꼽아 기다려 온 기적처럼 놀랍고 아름다운 신작!2017년 노벨 문학상을 수상하며 명실상부 현대 영문학을 대표하는 최고의 작가로 꼽힌 작가 가즈오 이시구로가 노벨상 수상 이후 최초로 장편소설을 발표했다. 2021년 3월 3일 영국에서 가장 먼저 출간된 이 책은 현재 30개국에 판권이 팔려 미국 캐나다 호주 일본 등에서 연달아 출간되고 있으며, 한국에서는 민음사를 통해 출간되었다.전 세계 독자가 손꼽아 기다려 온 이번 작품 『클라라와 태양』은 인공지능 로봇과 한 소녀의 이야기를 담았으며, 출간 즉시 언론의 격찬과 독자들의 열광 속에 영국 베스트셀러 1위, 미국 《뉴욕 타임스》베스트셀러 3위, 호주 1위, 캐나다 2위에 올랐다. 또.."
12,13,이상한 나라의 앨리스,루이스 캐럴,"아동 문학의 영원한 고전 《이상한 나라의 앨리스》70년 만에 전세계 최초로 이뤄지는 소설과 애니메이션의 ‘진짜’ 콜라보레이션!황금빛 햇살이 눈부신 오후, 언니와 함께 하릴없이 강둑에 앉아 있던 앨리스는 눈이 빨간 흰 토끼가 혼잣말하는 소리를 듣는다. 믿을 수 없는 광경에 사로잡힌 앨리스는 흰 토끼를 따라 토끼 굴 속으로 떨어지는데…. 시계를 든 토끼를 따라 환상의 세계로 빠져드는 앨리스의 모험을 담은 루이스 캐럴의 대표작, 《이상한 나라의 앨리스》는 처음 책이 출간된 1865년 이후, 1951년 디즈니 스튜디오에서 애니메이션을 제작하며 더욱 유명해졌다고 해도 과언이 아니다. 특히 현재 우리가 익히 알고 있는 풍성한 금발에 파란 원피스의 귀여운 소녀 모습은 애니메이션의 영향을 받은 것으로 그 일러스트들은 70.."
13,14,그녀는 다 계획이 있다,히가시노 게이고,"하나야 보석점 살인사건을 둘러싼 과거와 미래의 사건경쾌하고 리듬감 있는 터치의 히가시노 게이고 복고 미스터리교코는 부자가 되겠다는 원대한 계획을 이루기 위해 파티장으로 출근하는 컴패니언이다. 어느 날, 하나야 보석점 고객 감사파티가 끝난 뒤 직장동료 에리가 호텔 밀실에서 죽은 채 발견되고, 교코는 자신이 점찍은 부동산회사 전무 다카미가 사건에 유달리 관심을 가지고 있음을 알게 된다. 마침 옆집으로 이사 온 담당 형사 시바타 덕택에 수사 과정을 파악하기도 손쉬우니, 이야말로 절호의 기회! 시바타는 다카미의 태도가 수상하다고 의심하지만, 교코는 다카미와 좀 더 접점을 만들고 싶은 마음에 사건 추리에 적극적으로 뛰어든다. 티격태격하며 에리의 행적을 조사하던 두 사람은 예상치 못한 그녀의 과거와 마주치게 되고, 곧.."
14,15,사람은 무엇으로 사는가,레프 톨스토이,"자살 직전까지 갔던 톨스토이의 삶을 통째로 바꾼 삶의 진리… 그 깨달음을 오롯이 녹여낸 명품 단편 모음!위대한 소설가로 세계적인 명성을 누렸던 시절에도 채울 수 없었던 톨스토이의 마음을 만족하게 한 것은 무엇이었을까? 그 깨달음으로 살아갈 이유를 찾은 후 작품의 색깔까지 완전히 바꾸어 집필한 10편의 명 단편이 현대지성 클래식 제34권, 『사람은 무엇으로 사는가』로 독자들과 만난다. 인생의 최고 정점이던 51세 무렵, 1879년을 기점으로 톨스토이의 인생은 완전히 달라진다. 사실 그때는 『전쟁과 평화』(1863-1869), 『안나 카레니나』(1873-1877)를 발표한 직후라 문학적인 명성과 창조적인 영감은 최고 수준이었다. 하지만 그는 피할 수 없는 죽음 앞에 선 인생의 허무함을 인식하며 상류층의 삶이 철.."
15,16,니클의 소년들,콜슨 화이트헤드,"콜슨 화이트헤드가 복원해낸 차별로 얼룩진 미국의 과거와 현재 그리고 미래!2020 퓰리처상을 수상한 콜슨 화이트헤드의 장편소설 『니클의 소년들』. 엘우드를 중심으로 과거와 현재를 오가며 니클 감화원에서 벌어졌던 일들을 서술한다. 인종차별정책이 시행되었던 1960년대와 지금의 2010년대가 교차하는 시점 전환은 과거와 현재를 선명히 대비시키며 그동안 밝혀지지 않은, 혹은 외면해왔던 진실을 드러낸다. 버스 보이콧 운동, 마틴 루서 킹 목사의 연설 등 흑인 인권 운동의 중요한 기점과 감화원에서의 은밀한 폭력의 증거를 담은 소설은 한 편의 연대기이자 가치 있는 역사 고증물로도 읽힌다.미국 플로리다주 탤러해시의 니클 캠퍼스에서 의문의 비밀 묘지가 발견된다. 두개골에 금이 가고 갈비뼈에 산탄이 박힌 수상쩍은 유해들이 .."
16,17,일인칭 단수,무라카미 하루키,"『노르웨이의 숲』 『1Q84』 『기사단장 죽이기』 등의 작품으로 세대와 국경을 넘어 독보적인 존재감을 발휘하고 있는 세계적인 작가 무라카미 하루키가 『여자 없는 남자들』 이후 6년 만에 선보이는 소설집. 작가 특유의 미스터리한 세계관과 감성적인 필치, 일인칭 주인공 ‘나’의 시점으로 진행되는 작품이라는 공통점을 지닌 단편들을 모았다. 누군가의 삶을 스쳐가는 짧고 긴 만남을 그려낸 여덟 작품 속에서 유일무이의 하루키 월드를 구성하는 다채로운 요소들을 한데 만나볼 수 있다. "
17,18,인생은 소설이다,기욤 뮈소,"캐리는 어디로 사라졌을까? 그 의문을 풀어줄 비밀의 방문이 열린다!현실과 픽션을 넘나드는 기욤 뮈소의 장편소설 『인생은 소설이다』. 플로라 콘웨이는 현재 세 권의 소설을 발표한 작가지만 데뷔작을 필두로 나머지 두 작품 역시 공전의 히트를 기록하는 한편 최고 권위의 프란츠 카프카 상을 수상해 국제적인 명성을 획득한다. 플로라 콘웨이의 얼굴을 직접 본 사람은 없다. 데뷔 이래 줄곧 언론 노출을 꺼려왔고, 대학교나 서점 등에서 자주 강연 요청을 받았지만 단 한 번도 받아들인 적이 없다. 책표지에 사용하고 있는 젊은 시절 사진 한 장만이 유일하게 플로라의 존재를 증명해줄 뿐이다. 20여 개국에 소설 판권이 팔려나갔을 만큼 플로라의 인기는 상승세를 지속하고 있다. 플로라의 소설을 전담 출판해온 팡틴 드 빌라트가 주도.."
18,19,1984,조지 오웰,"조지 오웰 타계 70주년, 추모 특별판마침내 원형을 회복한 완전한 『1984』를 만나다!〈타임〉 선정 현대 100대 영문소설, 〈뉴스위크〉 선정 100대 명저, BBC 선정 반드시 읽어야 할 책, 하버드대 학생들이 가장 많이 구입한 책, 서울대 신입생들이 가장 많이 읽는 책… 모두 『1984』를 수식하는 말들이다. 조지 오웰의 마지막 작품인 『1984』는 전세계 65개 언어로 번역되어 수천만 부가 팔렸고, 국내에도 여러 판본이 출간되어 있다. 그럼에도 실제 이 작품을 처음부터 끝까지 제대로 읽은 독자들은 얼마나 될까?우리가 지금까지 알고 있었던 『1984』는 어떤 모습일까?『동물농장』과 더불어 조지 오웰의 대표작, 전체주의를 비판하는 디스토피아 소설, 미래를 예견한 소설, 어둡고 암울한 결말의 다소 어렵고 .."
19,20,심판,베르나르 베르베르,"죽고 난 다음에 시작되는 특별한 심판『심판』은 저자 베르나르 베르베르가 《인간》 이후 다시 한번 시도한 희곡이며, 천국에 있는 법정을 배경으로 판사 · 검사 · 변호사 · 피고인이 펼치는 설전을 유쾌하게 그려 냈다. 베르베르 특유의 상상력과 유머가 빛나는 이 작품은 희곡이면서도 마치 소설처럼 읽힌다. 총 3막으로 구성되어 있는 이 작품은 제1막에서는 수술 중 사망한 주인공이 자신이 죽었다는 사실을 깨닫지 못한 채 천국에 도착하여 변호사 · 검사 · 판사를 차례로 만난다. 제2막은 주인공의 지난 생을 돌이켜보는 절차가 진행되며, 제3막은 다음 생을 결정하는 절차가 진행된다.주인공은 방금 전 사망한 아나톨 피숑. 살아 있을 때 판사로 일했던 그는 아이러니하게도 죽자마자 피고인의 처지가 된다. 골초였던 그는 폐암.."
20,21,여름,이디스 워튼,"최초의 여성 퓰리처상 수상 작가, 이디스 워튼이 쓴 성장 소설미국 문단에서 여성의 성적 열정을 다룬 최초의 본격 문학▶ 워튼은 20세기를 통틀어 가장 뛰어난 작가 중 하나다. ─ 《옵저버》 ▶ 여성의 성적 열정을 솔직하게 다룬 최초의 작품. ─ 신시아 그리핀 울프(평론가)/“사랑이 핏속에서 즐겁게 춤을 추는데 어디에서 태어났건, 누구의 자식이건 무슨 상관이란 말인가?”─『여름』에서 /여성 최초의 퓰리처상 수상 작가 이디스 워튼의 『여름』이 민음사 세계문학전집 368번으로 출간되었다. 1차 세계 대전이 막바지에 이르렀을 무렵, 피난민을 돌보며 전쟁의 상처를 수습하던 작가가 단 몇 주 동안의 휴식기에 써 내려간 이 작품은 비극적인 전쟁의 한가운데에서도 “창작의 희열이 정점에 이르러” 집필했다고 알려져 있다. 이.."
21,22,스토너 초판본,존 윌리엄스,"★★★영화평론가 이동진, 문학평론가 신형철, 소설가 김연수ㆍ최은영 추천!★★★입소문이 만들어낸 역주행 베스트셀러의 살아 있는 신화!★★★〈오만과 편견〉, 〈어톤먼트〉 조 라이트 감독 영화화 확정!“이 소설에 대해선 할 말이 너무 많아서 나는 제대로 시작할 수조차 없다.” _신형철(문학평론가)전 세계 수많은 문학 애호가들의 인생 소설로 손꼽히는 명작 《스토너》가 1965년 미국에서 처음 발행됐을 때의 표지로 출간된다. 50여 년 전, 이 책의 초판은 출간 1년 만에 절판되었지만 2010년대 영국, 네덜란드, 프랑스를 비롯해 유럽 전역에서 재출간되며 역주행 베스트셀러 신화를 쓴다. 이 책을 두고 평론가 모리스 딕스타인은 “당신이 여태껏 들어본 적 없는 최고의 소설”이라 극찬했으며, 영국의 유명 작가 닉 혼비, .."
22,23,깊이에의 강요,파트리크 쥐스킨트,"새로운 디자인과 편집으로 만나는2020 파트리크 쥐스킨트 리뉴얼 시리즈 오래도록 깊은 여운을 남기는 쥐스킨트의 단편 소설집파트리크 쥐스킨트의 단편 소설인「깊이에의 강요」,「승부」,「장인(匠人) 뮈사르의 유언」과 에세이「문학의 건망증」등 총 네 편의 작품을 한데 묶었다. 짧은 이야기 뒤로 남겨진 긴 여백 속에서 작가의 세상을 보는 시각을 읽을 수 있는 작품집이다. 첫 번째로 수록된「깊이에의 강요」는 한 젊은 여성 화가를 소재로 쥐스킨트가 즐겨 다루는 예술가의 문제를 예리하게 그려 낸다. 〈작품에 깊이가 없다〉는 어느 평론가의 무심한 말을 듣고 고뇌하다가 마침내 죽음을 선택하는 예술가 그리고 그녀의 죽음 후 관점을 바꾸어 그녀의 그림에는 삶을 파헤치고자 하는 열정과 〈깊이에의 강요〉를 느낄 수 있다고 말하는 〈.."
23,24,이문열 삼국지 세트,나관중,"이문열 평역 삼국지 30년 만의 개정 신판 출간!독보적인 문장으로 읽는 우리 시대의 삼국지 누적판매 2,000만 부우리 시대를 대표하는 『이문열 삼국지』가 현대적인 감각으로 다시 돌아왔다!"
24,25,녹나무의 파수꾼,히가시노 게이고,"사상 최초 한국·중국·일본·대만 전 세계 동시 출간!《나미야 잡화점의 기적》을 잇는 또 하나의 감동 대작《나미야 잡화점의 기적》을 잇는 감동 소설을 들고 온 히가시노 게이고. 『녹나무의 파수꾼』은 소원을 들어주는 나무라는 다소 황당무계해 보이는 설정이지만 저자는 대가다운 솜씨를 발휘해서 그 나무의 능력을, 그리고 그 나무에 마음을 전하고 싶은 사람들의 사연을 설득력 있게 풀어낸다. 정말로 우리 주변에 있을 법한 사람들의 모습과 그들의 이야기를 읽고 있다 보면 어느새 마음속 어딘가에서 감동이 툭, 하고 번져오게 될 것이다.천애고아, 무직, 절도죄로 유치장 수감 중. 그야말로 막장인생 그 자체인 청년 레이토. 그런 그에게 일생일대의 기묘한 제안이 찾아온다. 변호사를 써서 감옥에 가지 않도록 해줄 테니 그 대신 .."
25,26,오로르,더글라스 케네디,"주인공 오로르는 자신이 남과 다르다는 사실을 안다. 모두가 그렇게 말하고, 언제나 공정해야 한다고 가르치는 멋진 조지안느 선생님조차 오로르가 남들처럼 행동할 수 있게 만들기 위해 수년째 노력 중이니까. 하지만 오로르는 자신의 다름을 약점이라 생각하지 않는다. 오로르의 목표는 ‘모두가 행복한 세상’이지, 다른 사람들처럼 사는 것이 아니다.신비한 힘을 가진 11살 오로르. 사람들은 오로르를 자폐아라고 부르고, 장애인이라고 말한다. 하지만 아빠는 공주, 엄마는 햇살이라고 부른다. 오로르는 누가 뭐라고 부르든 상관하지 않는다. 오로르는 언제나 행복하고, 다른 사람들도 자신처럼 행복해지기를 바랄 뿐이다. 오로르는 소리 내어 말하는 대신 태블릿에 글을 써서 말한다. 아빠보다도 빠르게 타자를 칠 수 있고, 그걸로 충분하.."
26,27,작은 아씨들,루이자 메이 알코트,"150년 동안 사랑받은 고전, 『작은 아씨들』을 지금 다시 읽어야 하는 이유!“내가 남자가 아니라는 게 참을 수 없어.”라고 거침없이 외치는 소녀에서, “남자 때문에 서둘러 자유를 포기하고 싶지 않아.”라며 비혼을 선언을 하고 글쓰기에 몰두하는 한 여성이 되기까지. ‘조’는 처음 등장할 때부터 마지막까지 자신의 꿈을 좇아 똑바로 갈 줄 아는 인물이다. 그리고 본인의 사랑이 다가왔을 때에는 “내가 원하던 사람”이라고 분명하게 말할 줄 알았다. 그렇기에 1868년 『작은 아씨들』이 발표된 이후부터 지금까지 작가들이 사랑하는 캐릭터로 손꼽히는 것일지도 모른다. ‘조’가 누구보다 생명력 넘치는 캐릭터로 탄생할 수 있었던 이유는 이 소설이 자전적이었기 때문이다. .."
27,28,당신 인생의 이야기,테드 창,"“이 한 권의 소설로, 테드 창은 단숨에 전설이 되었다!”〈가디언〉 선정 21세기 최고의 책 100, 전 세계 21개 언어로 번역 출간!최고의 SF에 수여되는 모든 상을 석권한 놀라운 소설!단 한 권의 소설집으로 “전 시대를 통틀어 가장 위대한 과학소설 작가 중의 한 명”이라는 명성을 얻은 테드 창의 『당신 인생의 이야기』 리커버 양장본! 『당신 인생의 이야기』는 ‘독보적 상상력의 대가’로 자리매김한 지금의 테드 창을 전 세계에 알린 그의 첫 번째 작품집으로, 과학적 상상력에 기초한 전혀 다른 차원의 소재와 시종일관 탄성을 자아내게 하는 놀라운 서사를 통해 최고의 과학소설에 수여되는 모든 상을 석권했다. 테드 창은 인간 사회에 큰 영향을 미쳐왔고 앞으로도 그럴 가능성이 농후한 과학철학적 담론들을 가능한 한 .."
28,29,콜 미 바이 유어 네임,안드레 애치먼,"내 눈의 빛, 세상의 빛, 내 인생의 빛 같은 사람!90회 아카데미 각색상 수상작 《콜 미 바이 유어 네임(CALL ME BY YOUR NAME)》의 원작 소설 『콜 미 바이 유어 네임』. 파이팅 어워드 수상자 안드레 애치먼이 감각적인 언어로 피아노 연주와 책이 삶의 전부인 열일곱 소년 엘리오와 스물넷의 미국인 철학교수 올리버, 두 남자의 사랑을 섬세하게 그려낸 작품이다.리마스터판으로 재출간된 책으로, 첫 문장부터 마지막 한 문장까지 전체 원문 대조를 통해 원작의 감성을 더욱 충실히 옮겼으며, 새로운 표지와 본문 디자인으로 첫사랑의 묘한 감정을 아름답게 표현하고 가독성을 높였다. 책을 읽는 동안 엘리오와 올리버 두 연인의 뜨겁고 순수한 숨소리가 가슴을 뜨겁게 울릴 것이다.소설은 훗날 성장한 엘리오가 그해 여.."
29,30,걸리버 여행기,조너선 스위프트,"『동물농장』 조지 오웰이 극찬한 최고의 풍자문학 완역본환상적인 모험에 숨겨진 인간과 사회에 대한 신랄한 풍자풍자문학의 대가 조너선 스위프트의 『걸리버 여행기』는 걸리버의 환상적인 모험담을 통해 당대의 정치사회와 인간 문명을 통렬하게 비판한다. 스위프트는 “이 작품의 의도는 세상 사람들을 즐겁게 해주려는 것이 아니라 화나게 만들려는 것”이라고 말했다. 그 말대로 『걸리버 여행기』는 1726년 출판되었을 때부터 엄청난 인기와 논란을 동시에 불러일으켰으며, 신랄한 묘사로 인해 내용이 삭제되거나 금서로 지정되기까지 했다.  19세기 초 『걸리버 여행기』는 원작의 거친 표현과 풍자 등을 삭제하고 아동문학으로 발행되었는데, 이런 판본들이 지금까지도 수많은 독자들에게 읽히고 있다. 그러나 아동용 『걸리버 여행기』를 접한.."
30,31,모비딕,허먼 멜빌,"포경선을 탄 경험이 있는 특이한 이력의 작가 허먼 멜빌이 격조 높은 서사시적 산문체로 써내려간 『모비 딕』(흰 고래 모비 딕Moby-Dick: or, The Whale)이 국내 최고의 번역으로 완역 출간되었다. 2010년 작가정신 아셰트 클래식 시리즈의 한 권으로 일러스트판이 출간된 이후, 많은 독자들의 요청에 따라 새롭게 보급판을 선보인다. 고래학學과 포경업에 대한 멜빌의 치밀한 기록을 그대로 수록한 이 책은 그동안 국내에 소개된 축약판으로는 느낄 수 없었던 『모비 딕』의 심오한 세계를 제대로 이해하고 음미하게 해주는 길잡이가 되어줄 것이다.서두에서부터 ‘고래’에 대한 ‘어원’ 탐구와 문헌 ‘발췌록’이 등장하고, 작가의 체험과 도서관에서 조사하고 연구한 고래와 포경에 대한 갖가지 지식이 총망라된 이 독특한.."
31,32,빛과 물질에 관한 이론,앤드루 포터,"데뷔작만으로 미국 현대 문학의 기수로 떠오른 앤드루 포터의 첫 소설집팟캐스트 [김영하의 책 읽는 시간]에 소개된 후 수많은 작가들의 교본이 된 바로 그 책 데뷔작 하나만으로 일약 미국 단편 문학의 신성新星으로 떠오른 앤드루 포터. 그의 데뷔작 『빛과 물질에 관한 이론』이 문학동네에서 출간되었다. 『빛과 물질에 관한 이론』은 섬세한 문체로 깊은 울림을 이끌어내는 열 편의 단편소설이 실린 소설집으로, 단편 부문 플래너리 오코너상을 수상했다. 또한 스티븐 터너상, 패터슨상, 프랭크 오코너상, 윌리엄 사로얀상 최종 후보에 오르고 출간된 해 포워드 매거진, 캔자스시티 스타, 샌안토니오 익스프레스 등에서 ‘올해의 책’으로 선정되기도 했다. 언론의 반응도 뜨거웠는데, 인디펜던스는 “현재 .."
